Country Code,2013 internet users,Country Name,2013 internet user %, 2013 pop ,notes,,GA results,lookup
HKG,5333125,"Hong Kong SAR, China",74%," 7,187,500 ",,,AND,
SRB,3689448,Serbia,52%," 7,163,976 ",,,AGO,
CSS,3233108,Caribbean small states,46%," 7,002,680 ",,,COD,
TGO,306764,Togo,5%," 6,816,982 ",,,CUB,
PRY,2510047,Paraguay,37%," 6,802,295 ",,,ETH,
LAO,846216,Lao PDR,13%," 6,769,727 ",,,PYF,
JOR,2854878,Jordan,44%," 6,459,000 ",,,GLP,True
SLV,1465235,El Salvador,23%," 6,340,454 ",,,GGY,True
ERI,56998,Eritrea,1%," 6,333,135 ",,,JEY,True
LBY,1023251,Libya,17%," 6,201,521 ",,,LAO,
SLE,103565,Sierra Leone,2%," 6,092,075 ",,,LSO,
NIC,942474,Nicaragua,16%," 6,080,478 ",,,MTQ,True
KGZ,1338363,Kyrgyz Republic,23%," 5,719,500 ",,,MCO,
DNK,5312233,Denmark,95%," 5,613,706 ",,,MOZ,
FIN,4977841,Finland,92%," 5,439,407 ",,,NAM,
SVK,4216638,Slovak Republic,78%," 5,414,095 ",,,QAT,
SGP,3941416,Singapore,73%," 5,399,200 ",,,SSD,
TKM,503047,Turkmenistan,10%," 5,240,072 ",,,,
NOR,4832695,Norway,95%," 5,084,190 ",,,,
CRI,2239247,Costa Rica,46%," 4,872,166 ",,,,
CAF,161575,Central African Republic,4%," 4,616,417 ",,,,
IRL,3595702,Ireland,78%," 4,595,281 ",,,,
GEO,1929544,Georgia,43%," 4,476,900 ",,,,
NZL,3700928,New Zealand,83%," 4,470,800 ",,,,
LBN,3149510,Lebanon,71%," 4,467,390 ",,,,
COG,293544,"Congo, Rep.",7%," 4,447,632 ",,,,
LBR,197528,Liberia,5%," 4,294,077 ",,,,
HRV,2838575,Croatia,67%," 4,252,700 ",,,,
PSE,1942990,West Bank and Gaza,47%," 4,169,506 ",,,,
MRT,241173,Mauritania,6%," 3,889,880 ",,,,
PAN,1657729,Panama,43%," 3,864,170 ",,,,
BIH,2600099,Bosnia and Herzegovina,68%," 3,829,307 ",,,,
OMN,2413759,Oman,66%," 3,632,444 ",,,,
PRI,2671549,Puerto Rico,74%," 3,615,086 ",,,,
MDA,1736792,Moldova,49%," 3,559,000 ",,,,
URY,1979503,Uruguay,58%," 3,407,062 ",,,,
KWT,2541924,Kuwait,75%," 3,368,572 ",,,,
ARM,1378150,Armenia,46%," 2,976,566 ",,,,
LTU,2023551,Lithuania,68%," 2,956,121 ",,,,
MNG,502516,Mongolia,18%," 2,839,073 ",,,,
ALB,1666946,Albania,60%," 2,773,620 ",,,,
JAM,1026270,Jamaica,38%," 2,715,000 ",,,,
NAM,320161,Namibia,14%," 2,303,315 ",,,,
PSS,521479,Pacific island small states,23%," 2,280,082 ",,,,
QAT,1849878,Qatar,85%," 2,168,673 ",,,,
MKD,1289581,"Macedonia, FYR",61%," 2,107,158 ",,,,
LSO,103723,Lesotho,5%," 2,074,465 ",,,,
SVN,1497469,Slovenia,73%," 2,060,484 ",,,,
BWA,303172,Botswana,15%," 2,021,144 ",,,,
LVA,1514758,Latvia,75%," 2,013,385 ",,,,
GMB,258900,"Gambia, The",14%," 1,849,285 ",,,,
KSV,0,Kosovo,0%," 1,824,000 ",see XKS,,,
GNB,52832,Guinea-Bissau,3%," 1,704,255 ",,,,
GAB,153797,Gabon,9%," 1,671,711 ",,,,
TTO,855654,Trinidad and Tobago,64%," 1,341,151 ",,,,
BHR,1198954,Bahrain,90%," 1,332,171 ",,,,
EST,1059747,Estonia,80%," 1,324,612 ",,,,
MUS,505558,Mauritius,39%," 1,296,303 ",,,,
SWZ,308630,Swaziland,25%," 1,249,514 ",,,,
TLS,12961,Timor-Leste,1%," 1,178,252 ",,,,
CYP,746948,Cyprus,65%," 1,141,166 ",,,,
FJI,326875,Fiji,37%," 881,065 ",,,,
DJI,82929,Djibouti,10%," 872,932 ",,,,
GUY,263872,Guyana,33%," 799,613 ",,,,
GNQ,124150,Equatorial Guinea,16%," 757,014 ",,,,
BTN,225430,Bhutan,30%," 753,947 ",,,,
COM,47770,Comoros,7%," 734,917 ",,,,
MNE,352946,Montenegro,57%," 621,383 ",,,,
MAC,372675,"Macao SAR, China",66%," 566,375 ",,,,
SLB,44898,Solomon Islands,8%," 561,231 ",,,,
LUX,509396,Luxembourg,94%," 543,202 ",,,,
SUR,201689,Suriname,37%," 539,276 ",,,,
CPV,187086,Cabo Verde,38%," 498,897 ",,,,
MLT,291700,Malta,69%," 423,282 ",,,,
BRN,269471,Brunei Darussalam,65%," 417,784 ",,,,
BHS,271709,"Bahamas, The",72%," 377,374 ",,,,
MDV,152155,Maldives,44%," 345,023 ",,,,
BLZ,105212,Belize,32%," 331,900 ",,,,
ISL,311848,Iceland,97%," 323,002 ",,,,
BRB,213483,Barbados,75%," 284,644 ",,,,
PYF,157240,French Polynesia,57%," 276,831 ",,,,
NCL,172920,New Caledonia,66%," 262,000 ",,,,
VUT,28562,Vanuatu,11%," 252,763 ",,,,
STP,44388,Sao Tome and Principe,23%," 192,993 ",,,,
WSM,29127,Samoa,15%," 190,372 ",,,,
LCA,64160,St. Lucia,35%," 182,273 ",,,,
GUM,107991,Guam,65%," 165,124 ",,,,
CHI,0,Channel Islands,0%," 162,018 ",,,,
CUW,97319,Curacao,63%," 153,500 ","2012, http://www.internetworldstats.com/carib.htm",,,
VCT,56874,St. Vincent and the Grenadines,52%," 109,373 ",,,,
GRD,37064,Grenada,35%," 105,897 ",,,,
TON,36863,Tonga,35%," 105,323 ",,,,
VIR,47446,Virgin Islands (U.S.),45%," 104,737 ",,,,
FSM,28787,"Micronesia, Fed. Sts.",28%," 103,549 ",,,,
ABW,81197,Aruba,79%," 102,911 ",,,,
KIR,11770,Kiribati,12%," 102,351 ",,,,
ATG,57050,Antigua and Barbuda,63%," 89,985 ",,,,
SYC,44943,Seychelles,50%," 89,173 ",,,,
IMN,0,Isle of Man,0%," 85,888 ",,,,
AND,74465,Andorra,94%," 79,218 ",,,,
DMA,42482,Dominica,59%," 72,003 ",,,,
BMU,61968,Bermuda,95%," 65,024 ",,,,
CYM,43300,Cayman Islands,74%," 58,435 ",,,,
GRL,37166,Greenland,66%," 56,483 ",,,,
ASM,8440,American Samoa,15%," 55,165 ",assume same as neighbor samoa,,,
KNA,43353,St. Kitts and Nevis,80%," 54,191 ",,,,
MNP,0,Northern Mariana Islands,0%," 53,855 ",,,,
MHL,6158,Marshall Islands,12%," 52,634 ",,,,
FRO,44522,Faeroe Islands,90%," 49,469 ",,,,
SXM,0,Sint Maarten (Dutch part),0%," 39,689 ",,,,
MCO,34313,Monaco,91%," 37,831 ",,,,
LIE,34636,Liechtenstein,94%," 36,925 ",,,,
TCA,0,Turks and Caicos Islands,0%," 33,098 ",,,,
SMR,15976,San Marino,51%," 31,448 ",,,,
MAF,0,St. Martin (French part),0%," 31,264 ",,,,
PLW,0,Palau,0%," 20,918 ",,,,
TUV,3654,Tuvalu,37%," 9,876 ",,,,
ANR,0,Andean Region,0%, -   ,,,,
CAA,0,Sub-Saharan Africa (IFC classification),0%, -   ,,,,
CEA,0,East Asia and the Pacific (IFC classification),0%, -   ,,,,
